City;Properties;Recycled listings;Networks;Properties per networks;Properties operated by biggest local network;x
New York;45,000;1,369;35,297;1.27;1,076;0.02391111
Kissimmee;36,888;1,831;4,035;9.14;28,367;0.7690035
Montreal;24,692;656;15,452;1.6;580;0.02348939
Los Angeles;23,945;487;13,681;1.75;584;0.02438923
Toronto;23,395;407;15,562;1.5;229;0.009788416
Atlanta;16,959;301;11,601;1.46;206;0.01214694
Davenport;13,806;704;1,442;9.57;11,430;0.8279009
Austin;13,204;170;8,783;1.5;241;0.01825204
San Diego;12,178;123;6,150;1.98;335;0.02750862
Miami;12,069;208;5,519;2.19;287;0.02377993
